id_vaga,tool
30613795,LEARNING
30613795,SQL
30613795,PYTHON
30497489,EXCEL
30097320,EXCEL
30479658,SQL
30479658,NUMPY
30479658,SCIKIT-LEARN
30479658,R
30479658,TABLEAU
30479658,PANDAS
30479658,PYTHON
30343228,SQL
29397110,EXCEL
29397110,SQL
29397110,TABLEAU
30479987,SQL
30479987,PYTHON
30598720,JAVASCRIPT
30598720,IA
30220261,EXCEL
30220261,SQL
30220261,PYTHON
30671477,EXCEL
29812068,POWERBI
29920125,SQL
29920125,PYTHON
29863994,SQL
29863994,EXCEL
29863994,R
29863994,TABLEAU
29863994,PYTHON
29714751,AWS
29714751,SQL
29714751,GIT
29714751,SPARK
29714751,DATABRICKS
29714751,PYTHON
30382983,EXCEL
30382983,SQL
30382983,PYTHON
30264914,AWS
30264914,SQL
30264914,QLIK
30264914,REDSHIFT
30264914,PYTHON
30662546,EXCEL
30133089,EXCEL
30133089,SQL
30516951,EXCEL
30425789,AZURE
30425789,AWS
29934572,EXCEL
29934572,SQL
30612839,LEARNING
30612839,SQL
30612839,PYTHON
30510300,EXCEL
30401609,EXCEL
30531845,AZURE
30531845,SQL
30531845,DATABRICKS
29910780,SQL
30662123,EXCEL
30662123,SQL
30468112,SQL
30527326,POWERBI
30527326,SQL
30527326,PYTHON
30527326,SPARK
30646658,EXCEL
30111927,SQL
30111927,C
30111927,GCP
30111927,R
30111927,SPARK
30111927,DATABRICKS
30111927,PYTHON
30111927,AIRFLOW
30425559,EXCEL
29946695,AZURE
29946695,SQL
29946695,PANDAS
29946695,DATABRICKS
29946695,SCIKIT-LEARN
29946695,R
29946695,NOSQL
29946695,LEARNING
29946695,FLASK
29946695,API
29946695,MATLAB
29946695,PYTHON
30672085,SQL
30672085,PYTHON
30672085,R
29699307,EXCEL
29699307,GCP
30510279,SQL
30510279,MYSQL
30510279,TERADATA
30510279,DOMO
30510279,TABLEAU
30614644,AZURE
30614644,AWS
30614644,SQL
30614644,GCP
30614644,LEARNING
30614644,PYTHON
30230601,GRAFANA
29969644,EXCEL
29969644,SQL
29969644,TABLEAU
29934532,SQL
30044689,SCALA
30044689,AZURE
30044689,DATABRICKS
30044689,PYTHON
30435892,EXCEL
30435892,SQL
30538258,AZURE
30538258,SQL
30538258,MATPLOTLIB
30538258,ML
30538258,HADOOP
30538258,PYTORCH
